timestamp,Cumulative power (kwh)
1481414400,257
1481587200,262
1481760000,270
1481846400,276
1482019200,301
1482105600,308
1482192000,316
1482364800,342
1482451200,354
1482537600,369
1482624000,378
1482796800,397
1483142400,437
1483228800,451
1483315200,459
1483488000,475
1483574400,485
1483660800,494
1483920000,525
1484006400,534
1484092800,545
1484179200,552
1484352000,572
1484438400,581
1484524800,587
1484611200,595
1484697600,608
1484956800,630
1485043200,641
1485302400,665
1485388800,673
1485475200,676
1485648000,692
1485734400,696
1486166400,764
1486339200,781
1486425600,792
1486512000,805
1486598400,816
1486771200,843
1486857600,856
1486944000,866
1487116800,886
1487203200,899
1487376000,929
1487462400,940
1487635200,956
1487721600,965
1487894400,994
1487980800,1005
1488153600,1023
1488240000,1036
1488326400,1049
1488412800,1060
1488499200,1072
1488585600,1092
1488672000,1101
1488758400,1104
1488844800,1116
1488931200,1127
1489017600,1136
1489104000,1149
1489190400,1175
1489276800,1189
1489363200,1196
1489449600,1205
1489536000,1219
1489622400,1232
1489708800,1244
1489881600,1279
1490054400,1293
1490140800,1309
1490313600,1335
1490400000,1349
1490486400,1367
1490572800,1377
1490659200,1392
1490745600,1407
1490832000,1420
1490918400,1433
1491004800,1455
1491091200,1465
1491177600,1471
1491264000,1483
1491350400,1495
1491436800,1506
1491609600,1539
1491696000,1546
1491868800,1571
1491955200,1580
1492041600,1593
1492128000,1608
1492214400,1625
1492300800,1636
1492387200,1641
1492473600,1655
1492732800,1695
1493164800,1754
1493337600,1777
1493424000,1794
1493510400,1807
1493683200,1826
1493769600,1839
1493856000,1850
1493942400,1863
1494028800,1878
1494115200,1894
1494201600,1905
1494374400,1922
1494547200,1937
1494633600,1957
1494806400,1973
1494892800,1992
1494979200,2000
1495065600,2014
1495152000,2025
1495324800,2053
1495411200,2057
1495497600,2068
1495670400,2094
1495756800,2107
1495843200,2121
1495929600,2122
1496016000,2127
1496188800,2152
1496275200,2162
1496361600,2177
1496534400,2212
1496620800,2218
1496707200,2227
1496793600,2238
1496966400,2259
1497052800,2268
1497139200,2278
1497225600,2279
1497312000,2285
1497398400,2296
1497744000,2337
1497916800,2349
1498003200,2354
1498176000,2380
1498348800,2403
1498521600,2419
1498608000,2423
1498694400,2435
1498867200,2458
1499040000,2471
1499126400,2483
1499212800,2490
1499299200,2501
1499385600,2510
1499644800,2538
1499817600,2558
1499904000,2565
1501113600,2692
1501804800,2786
1501891200,2798
1502668800,2875
1503273600,2940
1503360000,2951
1503446400,2961
1503532800,2970
1503964800,3010
1504051200,3022
1504310400,3051
1504569600,3080
1504656000,3090
1504828800,3109
1505088000,3115
1505174400,3126
1505260800,3136
1505433600,3161
1505520000,3176
1505779200,3196
1505865600,3214
1506038400,3237
1506211200,3259
1506297600,3263
1506902400,3314
1506988800,3324
1507161600,3348
1507507200,3382
1507593600,3397
1507680000,3406
1507766400,3416
1507852800,3423
1508025600,3437
1508112000,3439
1508284800,3446
1508544000,3493
1508716800,3511
1508803200,3524
1508889600,3530
1509062400,3550
1509321600,3585
1509667200,3613
1509840000,3628
1509926400,3631
1510012800,3637
1510099200,3646
1510444800,3690
1510531200,3694
1510617600,3602
1510704000,3709
1510790400,3715
1510876800,3721
1511395200,3765
1511481600,3775
1511568000,3792
1511654400,3796
1511740800,3801
1511913600,3819
1512000000,3826
1512259200,3841
1512345600,3844
1512432000,3851
1512691200,3878
1512950400,3913
1513036800,3923
1513209600,3938
1513468800,3979
1513641600,3991
1513728000,4006
1513814400,4015
1513987200,4038
1514073600,4053
1514246400,4066
1514332800,4078
1514419200,4095
1514505600,4106
1514592000,4119
1514937600,4166
1515110400,4183
1515542400,4235
1515974400,4289
1516060800,4296
1516147200,4305
1516492800,4358
1516838400,4391
1516924800,4404
1517184000,4427
1517356800,4448
1517443200,4462
1517529600,4470
1517616000,4487
1517788800,4507
1517875200,4514
1518048000,4525
1518480000,4588
1518566400,4598
1518652800,4610
1518825600,4651
1518998400,4669
1519084800,4686
1519257600,4714
1519344000,4727
1519430400,4751
1519603200,4774
1519689600,4787
1519776000,4800
1519862400,4814
1520035200,4845
1520121600,4858
1520208000,4869
1520294400,4883
1520467200,4909
1520553600,4925
1520812800,4960
1520899200,4972
1520985600,4985
1521072000,4996
1521244800,5022
1521417600,5041
1521504000,5059
1521590400,5070
1521763200,5096
1521849600,5118
1521936000,5133
1522022400,5136
1522108800,5150
1522195200,5162
1522281600,5171
1522368000,5186
1522454400,5194
1522540800,5213
1522627200,5218
1522713600,5227
1522800000,5240
1522886400,5255
1523059200,5286
1523232000,5309
1523318400,5319
1523404800,5337
1523577600,5357
1523664000,5377
1523750400,5390
1523836800,5395
1524009600,5421
1524182400,5442
1524441600,5474
1524528000,5484
1524614400,5494
1524700800,5506
1524787200,5516
1524873600,5540
1525046400,5555
1525392000,5601
1525651200,5642
1525737600,5653
1525824000,5662
1525910400,5671
1525996800,5684
1526256000,5716
1526342400,5725
1526428800,5738
1526601600,5763
1526774400,5793
1526860800,5797
1526947200,5809
1527033600,5819
1527120000,5827
1527206400,5837
1527638400,5893
1527724800,5903
1527811200,5913
1527984000,5934
1528070400,5942
1528156800,5951
1528243200,5962
1528934400,6019
1529193600,6068
1529280000,6073
1529366400,6084
1529452800,6094
1529539200,6105
1529798400,6134
1529884800,6138
1529971200,6148
1530230400,6171
1530576000,6212
1530662400,6223
1530748800,6235
1530835200,6244
1531094400,6263
1531440000,6293
1531612800,6313
1531699200,6318
1531785600,6323
1532304000,6373
1532563200,6396
1532649600,6403
1532736000,6414
1532822400,6424
1532908800,6426
1532995200,6438
1533081600,6443
1533168000,6451
1533254400,6463
1533686400,6506
1533945600,6531
1534118400,6541
1534291200,6559
1534377600,6562
1534464000,6567
1534550400,6581
1534809600,6602
1534982400,6620
1535068800,6628
1535587200,6684
1536019200,6741
1536105600,6758
1536192000,6774
1536451200,6806
1536537600,6814
1536624000,6822
1536710400,6831
1536883200,6849
1537056000,6875
1537228800,6892
1537315200,6898
1537401600,6910
1537488000,6920
1537747200,6952
1537833600,6963
1537920000,6976
1538092800,6995
1538352000,7036
1538611200,7070
1539129600,7127
1539216000,7140
1539302400,7152
1539475200,7178
1539648000,7188
1539734400,7193
1539820800,7208
1539993600,7235
1540080000,7245
1540252800,7267
1540339200,7278
1540512000,7295
1540598400,7314
1540944000,7348
1541030400,7460
1541376000,7498
1542240000,7510
1542326400,7516
1542412800,7531
1542585600,7544
1542672000,7555
1542758400,7565
1542844800,7571
1542931200,7576
1543190400,7599
1543276800,7615
1543363200,7625
1543449600,7637
1543536000,7648
1543622400,7664
1543708800,7678
1543795200,7682
1543881600,7689
1543968000,7698
1544140800,7711
1544400000,7736
1544486400,7748
1544572800,7756
1544745600,7771
1544832000,7784
1545004800,7800
1545091200,7810
1545177600,7815
1545264000,7827
1545436800,7846
1545523200,7858
1545609600,7866
1545696000,7870
1545782400,7880
1545868800,7889
1545955200,7893
1546041600,7905
1546128000,7917
1546214400,7923
1546300800,7937
1546387200,7951
1546473600,7962
1546560000,7976
1546646400,7989
1546732800,8008
1546905600,8029
1547078400,8055
1547510400,8114
1547596800,8127
1547683200,8140
1547769600,8151
1547856000,8170
1548028800,8184
1548115200,8196
1548201600,8207
1548288000,8218
1548374400,8228
1548460800,8243
1548633600,8255
1548720000,8264
1548806400,8276
1548892800,8284
1548979200,8296
1549238400,8328
1549324800,8338
1549411200,8347
1549497600,8355
1549584000,8365
1550361600,8470
1550448000,8483
1550793600,8534
1550880000,8553
1550966400,8574
1551052800,8578
1551139200,8598
1551312000,8619
1551398400,8633
1551484800,8654
1551571200,8662
1551657600,8671
1551830400,8696
1551916800,8713
1552003200,8723
1552176000,8748
1552262400,8758
1552435200,8788
1552521600,8800
1552608000,8813
1553040000,8877
1553212800,8901
1553385600,8932
1553472000,8937
1553558400,8949
1553731200,8974
1553904000,8999
1554163200,9031
1554249600,9040
1554422400,9047
1554508800,9075
1554595200,9080
1554681600,9091
1554768000,9100
1554940800,9127
1555459200,9207
1555545600,9223
1555632000,9239
1555891200,9267
1556064000,9292
1556150400,9307
1556236800,9323
1556323200,9341
1556496000,9353
1556582400,9363
1556755200,9386
1557014400,9427
1557100800,9435
1557187200,9448
1557273600,9459
1557360000,9474
1557446400,9485
1557532800,9504
1557705600,9519
1557792000,9530
1557964800,9549
1558051200,9561
1558137600,9566
1558224000,9588
1558396800,9603
1558483200,9615
1558656000,9636
1559001600,9682
1559088000,9692
1559174400,9705
1559260800,9714
1559347200,9729
1559520000,9746
1559692800,9769
1559779200,9780
1559865600,9792
1559952000,9804
1560124800,9824
1560211200,9841
1560556800,9875
1560643200,9895
1560729600,9899
1560816000,9911
1560902400,9925
1561420800,9986
1561507200,9992
1561593600,10001
1561680000,10012
1561852800,10044
1561939200,10046
1562025600,10057
1562198400,10077
1562284800,10086
1562544000,10112
1562630400,10125
1562716800,10131
1562803200,10140
1562889600,10150
1562976000,10168
1563062400,10179
1563235200,10192
1563321600,10201
1563408000,10210
1563580800,10231
1563667200,10237
1563753600,10241
1563840000,10248
1563926400,10256
1564012800,10267
1564185600,10288
1564358400,10299
1564444800,10309
1564531200,10320
1564617600,10329
1564963200,10364
1565049600,10368
1565308800,10385
1565654400,10418
1565740800,10426
1565827200,10435
1566259200,10460
1566691200,10512
1566777600,10515
1566864000,10524
1566950400,10533
1567036800,10543
1567468800,10584
1567555200,10593
1567641600,10597
1567728000,10604
1568073600,10640
1568160000,10648
1568246400,10655
1568332800,10666
1568419200,10681
1568592000,10702
1568851200,10718
1568937600,10729
1569110400,10751
1569196800,10761
1569369600,10776
1569542400,10802
1569801600,10841
1570147200,10883
1570233600,10897
1570492800,10928
1570665600,10943
1571011200,10985
1571097600,10999
1571184000,11007
1571270400,11016
1571356800,11025
1571616000,11052
1571875200,11075
1571961600,11084
1572480000,11131
1572652800,11159
1572739200,11174
1572825600,11179
1572912000,11192
1572998400,11203
1573084800,11214
1573171200,11223
1573257600,11237
1573344000,11249
1573776000,11291
1573862400,11304
1573948800,11317
1574121600,11328
1574380800,11351
1574467200,11363
1574640000,11384
1574726400,11393
1574812800,11403
1574899200,11408
1575158400,11427
1575417600,11441
1575590400,11458
1575849600,11477
1576108800,11507
1576368000,11535
1576972800,11597
1577059200,11600
1577404800,11628
1577664000,11656
1577750400,11666
1577836800,11672
1577923200,11675
1578009600,11684
1578528000,11731
1578787200,11765
1578873600,11770
1579132800,11796
1579219200,11806
1579478400,11830
1579564800,11839
1579651200,11850
1579824000,11872
1580169600,11909
1580601600,11960
1580860800,11979
1580947200,11987
1581033600,11996
1581206400,12017
1581292800,12020
1581379200,12035
1581811200,12108
1581984000,12133
1582243200,12188
1582329600,12196
1582416000,12201
1582502400,12213
1582675200,12236
1583020800,12288
1583107200,12292
1583280000,12309
1583625600,12345
1583712000,12354
1583798400,12369
1583971200,12391
1591660800,13464
1592611200,13561
1595376000,13852
1596153600,13947
1596672000,13979
1598400000,14130
1598659200,14166
1598745600,14178
1599609600,14270
1602547200,14540
1604707200,14754
1606521600,14917
1607731200,15012
1608854400,15128
1609027200,15148
1609718400,15203
1612483200,15482
1613174400,15552
1613260800,15562
1614556800,15718
1614816000,15744
1615075200,15780
1615161600,15790
1615507200,15839
1615593600,15850
1616284800,15928
1616457600,15963
1616803200,16008
1616889600,16017
1618012800,16155
1618358400,16192
1618963200,16261
1619481600,16324
1619740800,16354
1622505600,16657
1622764800,16685
1623369600,16751
1623628800,16778
1624406400,16859
1624752000,16890
1624838400,16898
1625184000,16940
1625616000,16981
1625875200,17005
1626480000,17046
1626825600,17075
1627084800,17090
1627516800,17134
1627862400,17167
1627948800,17177
1628380800,17210
1628812800,17256
1629331200,17302
1629590400,17322
1631145600,17462
1631318400,17479
1632009600,17556
1632528000,17604
1633046400,17648
1633910400,17717
1634428800,17758
1634774400,17788
1635033600,17816
1635379200,17844
1635552000,17855
1635811200,17873
1636329600,17903
1637280000,17949
1638835200,18039
1639785600,18110
1639958400,18129
1640131200,18147
1640390400,18172
1640476800,18182
1640563200,18192
1640822400,18215
1640995200,18227
1641081600,18232
1641600000,18282
1641772800,18297
1642032000,18322
1642204800,18335
1643414400,18450
1643846400,18485
1644019200,18505
1644537600,18554
1644969600,18592
1645228800,18685
1646092800,18701
1646265600,18715
1646611200,18746
1646956800,18779
1647129600,18795
1647648000,18854
1647734400,18864
1648252800,18906
1648857600,18966
1649030400,18991
1649462400,19043
1649980800,19096
1650067200,19106
1650672000,19174
1651881600,19301
1652486400,19340
1653091200,19385
1653264000,19403
1653696000,19447
1654560000,19537
1654905600,19569
1655078400,19593
1655942400,19662
1656374400,19700
1656720000,19726
1656979200,19745
1657411200,19766
1658188800,19818
1658620800,19847
1659052800,19885
1659657600,19924
1661644800,20071
1661817600,20084
